source,town,actual_damage,EF_scale,tornado_EF_unc,tornado_start_lat,tornado_end_lat,tornado_start_long,tornado_end_long,latitude,longitude,complete_address,building_name_listing,building_name_current,archetype,archetype_unc,located_in_historic_district,occupany_u,shared_wall,number_stories,year_built_u,building_area_m2,building_urban_setting,building_position_on_street,buidling_height_m,first_floor_elevation_m,front_elevation_orientation,wall_length_side,wall_length_front,wall_thickness,roof_shape_u,roof_slope_u,construction_type_u,construction_type_u_unc,mwfrs_u_wall,mwfrs_u_wall_unc,mwfrs_u_roof,mwfrs_u_roof_unc,mwfrs_u_moment_frame,mwfrs_u_moment_frame_unc,masonry_leaves,masonry_leaves_unc,structural_wall_system_u,foundation_type_u,foundation_type_u_unc,wall_anchorage_type_u,wall_anchorage_type_u_unc,wall_substrate,wall_substrate_u_unc,wall_cladding_u,wall_cladding_u_unc,soffit_type_u,soffit_present_u,wall_fenesteration_per_front,wall_fenesteration_per_back,wall_fenesteration_per_right,wall_fenesteration_per_left,wall_fenestration_per_n,wall_fenestration_per_s,wall_fenestration_per_e,wall_fenestration_per_w,wall_fenesteration_protection_front,wall_fenesteration_protection_back,wall_fenesteration_protection_right,wall_fenesteration_protection_left,fenestration_protection_type_front,fenestration_protection_type_back,fenestration_protection_type_right,fenestration_protection_type_left,large_door_present_front,large_door_present_back,large_door_present_right,large_door_present_left,door_present_n,door_present_s,door_present_e,door_present_w,roof_system_u,roof_system_u_unc,r2wall_attachment_u,r2wall_attachment_u_unc,roof_substrate_type_u,roof_substrate_type_u_unc,roof_cover_u,roof_cover_u_unc,overhang_length_u,parapet_height_m,retrofit_year_u,retrofit_present_u,retrofit_type_u,retrofit_type_unc_u,hazards_present_u,status_u,wind_damage_rating_u,damage_indicator_u,degree_of_damage_u,wind_damage_details_u,roof_structure_damage_u,roof_structure_damage_u_per,roof_substrate_damage_u,roof_substrate_damage_per,foundation_failure_u,foundation_failure_per_u,wall_structure_damage_per_front,wall_structure_damage_per_back,wall_structure_damage_per_left,wall_structure_damage_per_right,wall_structure_damage_u,wall_structure_damage_n,wall_structure_damage_s,wall_structure_damage_e,wall_structure_damage_w,wall_substrate_damage_per_front,wall_substrate_damage_per_back,wall_substrate_damage_per_right,wall_substrate_damage_per_left,wall_substrate_damage_n,wall_substrate_damage_s,wall_substrate_damage_e,wall_substrate_damage_w,wall_substrate_damage_u,wall_cladding_damage_per_front,wall_cladding_damage_per_back,wall_cladding_damage_per_right,wall_cladding_damage_per_left,wall_cladding_damage_n,wall_cladding_damage_s,wall_cladding_damage_e,wall_cladding_damage_w,damaged_fenesteration_per_front,damaged_fenesteration_per_back,damaged_fenesteration_per_right,damaged_fenesteration_per_left,wall_fenestration_damage_per_n,wall_fenestration_damage_per_s,wall_fenestration_damage_per_e,wall_fenestration_damage_per_w,soffit_damage_per_u,fascia_damage_per_u,piles_damage_u,foundation_damage_cause_u,foundation_damage_u,foundation_damage_u_per,risk_category_16,building_low_rise,national_register_listing_year,existed_during_tornado,buidling_use_before_tornado,buidling_use_after_tornado,buidling_use_plan_after_tornado,single_unit,multiple_unit,world_heritage_property,hague_convention,sub_national_heritage _list,iucn_protected_area,property_of_local_significance,const_material_h_stone,const_material_h_brick,const_material_h_wood,const_material_h_mud,const_material_h_rf_masonry,const_material_h_rglr_stone,const_material_h_rf_conc,const_material_h_ir_stone,const_material_h_othr,const_material_v_stone,const_material_v_brick,const_material_v_wood,const_material_v_mud,const_material_v_rf_masonry,const_material_v_rglr_stone,const_material_v_rf_conc,const_material_v_ir_stone,const_material_v_othr,prop_agricultural ,prop_cave,prop_culture _entertainment_facility,prop_forest,prop_industrial_facility,prop_lake,prop_military,prop_nature,prop_religious,prop_rock formation,prop_sports_facility,prop_unilities_facility,prop_archaeological,prop_commemorative structure or landmark,prop_ecosystem,prop_habitat,prop_infrastructure,prop_law / government facility,prop_mine,prop_park / garden,prop_residential facility,prop_scenic area,prop_transportation facility,prop_volcano,prop_battlefield,prop_commercial / exchange facility,prop_educational facility,prop_health / welfare facility,prop_island(s),prop_marine zone,prop_mountain,prop_parking / storage facility,prop_river catchment system,prop_sea,prop_underground facility,prop_zoological park,prop_val_evidential,prop_val_historical,prop_val_aesthetic,prop_val_communal,owner_individual,owner_business,owner_government,owner_ngo,owner_religious ,owner_unknown,buidling_existed_5_yrs_before_tornado,buidling_existed_3_yrs_before_tornado,buidling_existed_1_yrs_before_tornado,building_existed_during_tornado,building_in_use_during_tornado,building_use_during_tornado,building_demolished_1_yrs_after_tornado,building_demolished_3_yrs_after_tornado,building_demolished_5_yrs_after_tornado,incore_RPS,perfect_RPS,RPSS_vs_perfect,building_count
NRHP,Mayfield,4,3,3,36.4832,37.6077,-89.135,-86.5064,36.73987703,-88.63655973,214 S Eighth St Mayfield Graves County KY 42066 US,,,t14,1,yes,assembly,no,3.0,1900,895,isolated,right_on_street,13.5,1.67,s,12.91,28.44,0.21,gable,30.0,masonry_un,3,wall_diaphragm_masonry,3,roof_diaphragm_wood,3,no,3,double_leaf,2,masonry_block_unreinforced,masonry_un,3,motar,1,masonry,3,stucco,2,not_applicable,yes,25,40.0,35.0,35.0,35.0,35.0,40.0,25.0,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,no,no,no,yes,wooden_rafters,3,metal,1.0,dimensional_lumber,3,asphalt,3,0.0,0,un,no,not_found,2,wind,severe,3,8,3,,5,60,5,80,0,0,0.0,0.0,40.0,40.0,4.0,40.0,40.0,0.0,0.0,0.0,0.0,40.0,40.0,40.0,0.0,40.0,40.0,4.0,0.0,0.0,40.0,40.0,40.0,40.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,not_applicable,not_applicable,0,0,3,yes,1984,yes,religious,religious,religious,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,exceptional,considerable,considerable,exceptional,no,no,no,no,yes,no,yes,yes,yes,yes,yes,religious,yes,yes,yes,0.011881359999999999,0.0,-inf,1.0
NRHP,Mayfield,4,4,3,36.4832,37.6077,-89.135,-86.5064,36.74190335,-88.63599588,101 W Broadway St Mayfield Graves County KY 42066 US,,,t19,2,yes,business,yes,5.0,1900,645,row_end,right_on_street,19.0,0.1,s,22.0,38.0,0.35,flat,30.0,masonry_un,3,wall_diaphragm_masonry,2,roof_diaphragm_wood,3,no,2,double_leaf,2,masonry_block_unreinforced,slab_on_grade,3,motar,1,masonry,3,stone,2,not_applicable,no,35,35.0,35.0,35.0,35.0,35.0,35.0,35.0,yes,yes,yes,yes,plywood,plywood,plywood,plywood,no,no,no,no,no,no,no,no,wooden_rafters,3,metal,1.0,dimensional_lumber,3,asphalt,3,0.0,0.6,un,yes,not_found,2,wind,moderate,2,8,3,,4,60,5,90,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,not_applicable,0,0,2,yes,1984,yes,business,business,business,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,exceptional,considerable,exceptional,exceptional,no,yes,no,no,no,no,yes,yes,yes,yes,yes,business,no,no,yes,0.00831744,0.0,-inf,6.0
NRHP,Mayfield,4,4,3,36.4832,37.6077,-89.135,-86.5064,36.74086149,-88.63839201,"124 S 9th St, Mayfield, KY 42066",,,t6,2,yes,business,no,1.0,1910,203,isolated,recessed,6.0,0.0,s,17.2,11.6,0.3,flat,30.0,masonry_un,3,wall_diaphragm_masonry,3,roof_diaphragm_wood,3,no,3,double_leaf,3,masonry_block_unreinforced,slab_on_grade,3,motar,2,masonry,3,none,3,wood,yes,20,0.0,25.0,25.0,25.0,25.0,20.0,0.0,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,yes,yes,yes,no,wooden_trusses,3,metal,1.0,dimensional_lumber,3,asphalt,3,1.5,0,un,no,not_found,2,wind,destroyed,4,18,5,,5,100,100,100,5,100,100.0,100.0,100.0,100.0,5.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,not_applicable,not_applicable,0,0,2,yes,1996,yes,business,business,business,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,some,some,limited,some,no,yes,no,no,no,no,yes,yes,yes,yes,yes,business,yes,yes,yes,0.21178583762639355,0.19753086419755558,-0.0721658029834833,27.0
NRHP,Mayfield,4,4,3,36.4832,37.6077,-89.135,-86.5064,36.74145193,-88.63632515,"110 W Broadway, Mayfield, KY 42066",,,t6,3,yes,business,yes,2.0,1910,255,row_end,right_on_street,9.2,0.0,n,26.6,12.4,0.3,flat,0.0,masonry_un,3,wall_diaphragm_masonry,3,roof_diaphragm_wood,3,no,3,double_leaf,3,masonry_block_unreinforced,slab_on_grade,3,motar,2,masonry,3,none,3,not_applicable,no,40,15.0,0.0,80.0,15.0,40.0,0.0,80.0,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,yes,yes,no,yes,wooden_rafters,3,metal,1.0,dimensional_lumber,3,asphalt,3,0.0,0.2,un,no,not_found,2,wind,destroyed,4,18,5,,5,100,100,100,5,100,100.0,100.0,100.0,100.0,5.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,not_applicable,not_applicable,0,0,2,yes,1984,yes,business,business,business,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,some,some,some,some,no,yes,no,no,no,no,yes,yes,yes,yes,yes,business,yes,yes,yes,0.21178583762639355,0.19753086419755558,-0.0721658029834833,27.0
NRHP,Mayfield,4,4,3,36.4832,37.6077,-89.135,-86.5064,36.74077751,-88.63641863,"109 W South St, Mayfield, KY 42066",,,t6,3,yes,business,yes,1.0,1910,110,row_end,right_on_street,4.2,0.1,s,12.5,8.6,0.2,flat,0.0,masonry_un,3,wall_diaphragm_masonry,3,roof_diaphragm_wood,3,no,3,double_leaf,3,masonry_block_unreinforced,slab_on_grade,3,motar,2,masonry,3,none,3,not_applicable,no,40,10.0,0.0,0.0,40.0,10.0,0.0,0.0,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,yes,yes,no,no,wooden_rafters,3,metal,1.0,dimensional_lumber,3,asphalt,3,0.0,0.2,un,no,not_found,2,wind,severe,3,8,3,,5,60,5,80,0,0,0.0,0.0,40.0,40.0,4.0,40.0,40.0,0.0,0.0,0.0,0.0,40.0,40.0,40.0,0.0,40.0,40.0,4.0,0.0,0.0,40.0,40.0,40.0,40.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,not_applicable,not_applicable,0,0,3,yes,1984,yes,business,business,business,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,some,some,some,some,no,yes,no,no,no,no,yes,yes,yes,yes,yes,business,yes,yes,yes,0.21178583762639355,0.19753086419755558,-0.0721658029834833,27.0
NRHP,Mayfield,4,4,3,36.4832,37.6077,-89.135,-86.5064,36.74079782,-88.63648348,"113 W South St, Mayfield, KY 42066",,,t6,3,yes,business,yes,2.0,1910,155,row_end,right_on_street,9.0,0.3,s,20.6,7.6,0.3,flat,0.0,masonry_un,3,wall_diaphragm_masonry,3,roof_diaphragm_wood,3,no,3,double_leaf,3,masonry_block_unreinforced,slab_on_grade,3,motar,2,masonry,3,none,3,not_applicable,no,35,10.0,0.0,0.0,10.0,35.0,0.0,0.0,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,yes,yes,no,no,wooden_rafters,3,metal,1.0,dimensional_lumber,3,asphalt,3,0.0,0.2,un,no,not_found,2,wind,severe,3,8,3,,5,60,5,80,0,0,0.0,0.0,40.0,40.0,4.0,40.0,40.0,0.0,0.0,0.0,0.0,40.0,40.0,40.0,0.0,40.0,40.0,4.0,0.0,0.0,40.0,40.0,40.0,40.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,not_applicable,not_applicable,0,0,3,yes,1984,yes,business,business,business,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,some,some,some,some,no,yes,no,no,no,no,yes,yes,yes,yes,yes,business,yes,yes,yes,0.21178583762639355,0.19753086419755558,-0.0721658029834833,27.0
NRHP,Mayfield,4,4,3,36.4832,37.6077,-89.135,-86.5064,36.74141688,-88.63646332,"114 W Broadway, Mayfield, KY 42066",,,t6,3,yes,business,yes,2.0,1900,285,row_end,right_on_street,10.0,0.0,n,36.4,7.6,0.3,flat,0.0,masonry_un,3,wall_diaphragm_masonry,3,roof_diaphragm_wood,3,no,3,double_leaf,3,masonry_block_unreinforced,slab_on_grade,3,motar,2,masonry,3,wood_plank,3,not_applicable,no,35,20.0,0.0,0.0,35.0,20.0,0.0,0.0,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,yes,yes,no,no,wooden_rafters,3,metal,1.0,dimensional_lumber,3,asphalt,3,0.0,0.2,un,no,not_found,2,wind,destroyed,4,18,5,,5,100,100,100,5,100,100.0,100.0,100.0,100.0,5.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,not_applicable,not_applicable,0,0,2,yes,1984,yes,business,business,business,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,some,some,some,some,no,yes,no,no,no,no,yes,yes,yes,yes,yes,business,yes,yes,yes,0.21178583762639355,0.19753086419755558,-0.0721658029834833,27.0
NRHP,Mayfield,4,4,3,36.4832,37.6077,-89.135,-86.5064,36.74143104,-88.63655114,"114 W Broadway, Mayfield, KY 42066",,,t6,3,yes,business,yes,2.0,1930,280,row_middle,right_on_street,10.2,0.0,n,36.4,7.6,0.3,flat,0.0,masonry_un,3,wall_diaphragm_masonry,3,roof_diaphragm_wood,3,no,3,double_leaf,3,masonry_block_unreinforced,slab_on_grade,3,motar,2,masonry,3,wood_plank,3,not_applicable,no,30,20.0,0.0,0.0,35.0,20.0,0.0,0.0,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,yes,yes,no,no,wooden_rafters,3,metal,1.0,dimensional_lumber,3,asphalt,3,0.0,0.2,un,no,not_found,2,wind,destroyed,4,18,5,,5,100,100,100,5,100,100.0,100.0,100.0,100.0,5.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,not_applicable,not_applicable,0,0,2,yes,1984,yes,business,business,business,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,some,some,some,some,no,yes,no,no,no,no,yes,yes,yes,yes,yes,business,yes,yes,yes,0.21178583762639355,0.19753086419755558,-0.0721658029834833,27.0
NRHP,Mayfield,4,3,3,36.4832,37.6077,-89.135,-86.5064,36.74080803,-88.63411153,"203 E South St, Mayfield, KY 42066",,,t6,3,yes,business,no,1.0,1910,270,isolated,right_on_street,5.0,0.0,s,19.3,11.7,0.3,flat,0.0,masonry_un,3,wall_diaphragm_masonry,3,roof_diaphragm_wood,3,no,3,double_leaf,3,masonry_block_unreinforced,slab_on_grade,3,motar,2,masonry,3,cast_stone,2,not_applicable,no,25,10.0,0.0,0.0,10.0,25.0,0.0,0.0,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,yes,yes,no,no,wooden_rafters,3,metal,1.0,dimensional_lumber,3,asphalt,3,0.0,0.4,un,no,not_found,2,wind,severe,3,8,3,,5,60,5,80,0,0,0.0,0.0,40.0,40.0,4.0,40.0,40.0,0.0,0.0,0.0,0.0,40.0,40.0,40.0,0.0,40.0,40.0,4.0,0.0,0.0,40.0,40.0,40.0,40.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,not_applicable,not_applicable,0,0,3,yes,1984,yes,business,business,business,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,some,some,some,considerable,no,yes,no,no,no,no,yes,yes,yes,yes,yes,business,yes,yes,yes,1.4383866500000002,0.8800000000000001,-0.6345302840909091,5.0
NRHP,Mayfield,2,3,3,36.4832,37.6077,-89.135,-86.5064,36.74005077,-88.63676492,"214 S 8th St, Mayfield, KY 42066 (can't find the exact, is small church building)",,,t13,1,yes,assembly,no,2.0,1901,195,isolated,recessed,9.2,0.8,w,16.93,11.3,0.3,gable,30.0,masonry_un,3,wall_diaphragm_masonry,3,roof_diaphragm_wood,2,no,3,double_leaf,3,masonry_block_unreinforced,masonry_un,2,motar,1,masonry,3,stucco,3,not_applicable,no,15,15.0,20.0,15.0,15.0,20.0,15.0,15.0,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,no,no,no,yes,wooden_rafters,2,metal,1.0,dimensional_lumber,2,asphalt,3,0.0,0,un,no,not_found,2,wind,moderate,2,8,3,,4,60,5,90,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,not_applicable,0,0,2,yes,1984,yes,religious,religious,religious,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,exceptional,considerable,considerable,exceptional,no,no,no,no,yes,no,yes,yes,yes,yes,yes,religious,yes,yes,yes,0.5540213333333334,0.4444444444446667,-0.2465479999993767,3.0
NRHP,Mayfield,4,4,3,36.4832,37.6077,-89.135,-86.5064,36.74092219,-88.63896014,"111 S 9th St, Mayfield, KY 42066",first christian church,,t13,1,yes,assembly,no,1.5,1915,1330,isolated,right_on_street,12.0,2.0,e,43.5,38.0,0.2,complex,30.0,masonry_un,3,wall_diaphragm_masonry,3,roof_diaphragm_wood,3,no,3,double_leaf,3,masonry_block_unreinforced,masonry_un,1,motar,2,masonry,3,none,3,vinyl,yes,50,25.0,50.0,20.0,25.0,50.0,50.0,20.0,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,yes,yes,yes,yes,wooden_rafters,3,metal,1.0,dimensional_lumber,1,composite_cooper,1,0.0,0,un,no,not_found,2,wind,severe,3,8,3,,5,60,5,80,0,0,0.0,0.0,40.0,40.0,4.0,40.0,40.0,0.0,0.0,0.0,0.0,40.0,40.0,40.0,0.0,40.0,40.0,4.0,0.0,0.0,40.0,40.0,40.0,40.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,not_applicable,not_applicable,0,0,3,yes,1996,yes,religious,religious,religious,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,exceptional,considerable,exceptional,exceptional,no,no,no,no,yes,no,yes,yes,yes,yes,yes,religious,yes,yes,yes,0.6227574766666666,0.4444444444446667,-0.40120432249929916,3.0
NRHP,Mayfield,4,4,3,36.4832,37.6077,-89.135,-86.5064,36.74100731,-88.6367696,104 S 8th Street Mayfield Graves County KY 42066 US,First Baptist Church Mayfield,,t13,1,yes,assembly,no,4.0,1960,535,complex,right_on_street,15.6,0.7,w,35.0,15.8,0.25,flat,0.0,masonry_un,2,wall_diaphragm_masonry,2,roof_diaphragm_wood,1,no,2,triple_leaf,1,masonry_block_unreinforced,concrete_un,1,motar,1,masonry,3,stucco,2,not_applicable,no,20,15.0,20.0,40.0,15.0,20.0,20.0,40.0,yes,no,no,yes,plywood,plywood,not_applicable,plywood,no,no,no,no,no,no,no,yes,wooden_rafters,3,metal,1.0,dimensional_lumber,3,standing_seam_meta,3,0.0,0.6,un,no,not_found,2,wind,moderate,2,8,3,,4,60,5,90,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,not_applicable,0,0,3,yes,1996,yes,religious,religious,religious,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,considerable,exceptional,exceptional,exceptional,no,no,no,no,yes,no,yes,yes,yes,yes,yes,religious,no,no,un,0.6227574766666666,0.4444444444446667,-0.40120432249929916,3.0
NRHP,Mayfield,4,4,3,36.4832,37.6077,-89.135,-86.5064,36.74091391,-88.63526863,100 E Broadway Mayfield Graves County KY 42066 US (jail annex),county jail annex,,t14,1,yes,assembly,no,3.0,1930,684,complex,recessed,15.8,0.7,s,13.8,50.0,0.25,flat,0.0,masonry_un,3,wall_diaphragm_masonry,3,roof_diaphragm_wood,3,no,2,double_leaf,3,masonry_block_unreinforced,stone_un,3,motar,2,masonry,3,cast_stone,2,cast_stone,yes,30,0.0,10.0,10.0,0.0,30.0,10.0,10.0,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,no,yes,no,no,wooden_trusses,3,metal,1.0,dimensionl_lumber,1,asphalt,3,0.2,0,un,yes,roof,2,wind,moderate,2,8,3,,4,60,5,90,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_applicable,not_applicable,0,0,2,yes,1984,yew,government,government,government,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,exceptional,exceptional,exceptional,exceptional,no,no,no,no,no,no,yes,yes,yes,yes,yes,government,yes,yes,yes,1.936e-05,0.0,-inf,3.0
NRHP,Nashville,3,2,3,36.1717,36.1525,-86.9526,-85.8904,36.1748559,-86.79533014,908 Monroe St Nashville TN 37208 US,Third Baptist Church,Hopewell Missionary Baptist Church,t13,2,no,religious,no,1.0,1902,359.25,isolated,right_on_street,8.0,0.5,s,21.0,32.0,0.2,hip,30.0,masonry_un,3,wall_diaphragm_masonry,3,roof_diaphragm_wood,3,no,3,double_leaf,3,masonry_block_unreinforced,stone,3,un,1,masonry,3,none,3,wood,yes,40,40.0,40.0,40.0,40.0,40.0,40.0,40.0,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,no,no,no,no,no,no,no,wooden_un,3,un,,dimensional_lumber,1,asphalt,3,0.2,0,2021,yes,structural_restoration,3,wind,severe,3,3,3,"parts of structure destroyed, all fenestration destroyed",3,40,3,20,0,0,20.0,10.0,10.0,50.0,3.0,0.0,50.0,20.0,20.0,20.0,0.0,50.0,20.0,0.0,20.0,50.0,20.0,1.0,5.0,30.0,50.0,7.0,30.0,5.0,50.0,7.0,80.0,50.0,70.0,50.0,50.0,70.0,50.0,80.0,80.0,80.0,not_applicable,not_applicable,0,0,2,yes,1979,yes,religious,religious,religious,yes,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,0,no,no,no,no,exceptional,exceptional,exceptional,exceptional,no,no,no,no,yes,no,yes,yes,yes,yes,yes,religious,no,no,no,0.07105441017149025,0.3333333333333333,0.7868367694855293,1.0
